name,highway,id
Московское шоссе,trunk,8146528
улица Ломоносова,tertiary,8146565
набережная реки Карповки,residential,8146570
Парковая улица,secondary,8146742
Муринская дорога,tertiary,8146743
Средняя Подьяческая улица,residential,8146763
улица Академика Павлова,residential,8146789
улица Чудновского,residential,8146822
улица Победы,residential,8146827
Барочная улица,residential,8166457
Екатерининский проспект,tertiary,8231151
проспект Культуры,residential,8609513
Мошков переулок,tertiary,9873957
Сестрорецкая улица,residential,9880497
Бугровский путепровод,secondary,9888732
Пискарёвский проспект,primary,9892576
Пискарёвский путепровод,primary,9892577
проспект Энергетиков,primary,9895635
Выборгская улица,residential,10157458
проспект Культуры,tertiary,10166472
Ланская улица,residential,10225306
Морской проспект,residential,10372455
набережная реки Малой Невки,residential,10372469
Мало-Крестовский мост,residential,10372499
набережная реки Крестовки,residential,10372693
Боковая аллея,residential,10372755
Липовая аллея,secondary,10503391
Репищева улица,secondary,10515452
Старо-Муринская улица,residential,10568715
Серафимовский переулок,tertiary,10654929
проспект Энгельса,secondary,10656602
Кирочная улица,secondary,10904090
улица Красных Курсантов,residential,11018631
Индустриальный проспект,tertiary,11020810
площадь Белинского,secondary,11980121
мост Белинского,secondary,11980122
улица Бехтерева,tertiary,12178022
Пролетарская улица,residential,12870196
улица Руставели,primary_link,13699238
7-й Предпортовый проезд,unclassified,13803176
Заречная дорога,unclassified,14771122
Токсовская улица,primary,15575092
Муринский тоннель,primary,15575094
Токсовская улица,primary,15575099
Токсовская улица,secondary,15575101
Токсовская улица,primary,15575102
Бугровский путепровод,secondary,15579580
проспект Косыгина,primary,18330930
улица Ярослава Гашека,residential,18676859
Малая Бухарестская улица,residential,18676978
Софийский бульвар,tertiary,18821520
Новодеревенская улица,secondary,18821571
Железнодорожная улица,residential,18822071
улица Руставели,secondary,19731057
Шафировский проспект,primary,19731069
улица Натальи Грудининой,unclassified,19790354
Шафировский проспект,primary,19790868
улица Бабушкина,primary,19791285
улица Новосёлов,residential,19803667
Пискарёвский путепровод,primary,19841110
проспект Энергетиков,primary,19846790
Морская улица,residential,20130685
Захарьевская улица,residential,20192617
Нефтяная дорога,secondary,20484241
Глухоозёрское шоссе,secondary,20484242
Нефтяная дорога,tertiary,20484249
улица Самойловой,secondary,20484250
Нефтяная дорога,tertiary,20484331
Светлановская площадь,secondary_link,20490354
улица Мосина,tertiary,20894630
2-я Берёзовая аллея,residential,20940855
Глиняная улица,unclassified,21106750
Мельничная улица,residential,21106931
улица Кропоткина,unclassified,21609487
улица Машиностроителей,residential,21639961
улица Металлургов,residential,21640044
Яшумов переулок,unclassified,21876008
Яковская улица,residential,21876105
Воронцов переулок,residential,21876334
Зеленогорское шоссе,primary,21899512
Зеленогорское шоссе,primary,21899713
улица Токарева,secondary,22147396
Рашетова улица,tertiary,22328958
Ординарная улица,residential,22417457
улица Всеволода Вишневского,residential,22523383
Барочная улица,residential,22575332
улица Оскаленко,residential,22634234
4-й Верхний переулок,unclassified,22725786
Боковая аллея,residential,22746595
набережная реки Крестовки,residential,22746597
Большая аллея,residential,22746918
Лесная улица,residential,22756815
Коннолахтинская дорога,secondary,22756861
Коннолахтинская дорога,secondary,22756863
Полянская дорога,primary_link,22756961
улица Валерия Гаврилина,residential,22778303
Пулковское шоссе,trunk,22797063
7-я дорога,unclassified,22878728
Первомайская улица,tertiary,22878752
Соборная улица,secondary,22878797
улица Труда,residential,22878817
Бармалеева улица,residential,22882469
улица Щербакова,residential,22936818
аллея Академика Глушко,residential,22995907
Онежский проезд,residential,22998536
Витебский проспект,primary,23000069
Витебский проспект,primary,23000075
Скачков переулок,residential,23011474
улица Крашенинникова,residential,23032544
Канонерский тоннель,tertiary,23037042
Детский переулок,unclassified,23044425
улица Красуцкого,residential,23044555
проспект Энгельса,secondary,23050268
Ново-Александровская улица,residential,23051055
переулок Матюшенко,residential,23051083
Сомов переулок,residential,23051096
улица Горького,residential,23058611
Артиллерийская улица,residential,23058612
Матвеевский переулок,residential,23069123
улица Воскова,tertiary,23069124
проспект Культуры,secondary,23077125
Верхняя улица,secondary,23077126
улица Обручевых,residential,23083718
Володарский мост,primary,23084534
Верхняя улица,secondary,23090097
Зоологический переулок,residential,23093328
Синопская набережная,secondary,23093979
Синопская набережная,secondary,23093985
Синопская набережная,secondary,23093997
4-й Рыбацкий проезд,tertiary,23103502
Прибрежная улица,residential,23103523
Власьевский переулок,residential,23103536
Прибрежная улица,residential,23133645
Калужский переулок,residential,23141147
Графский переулок,residential,23141385
Запорожская улица,tertiary,23164303
Славянская улица,living_street,23165062
Ивановская улица,tertiary,23165124
Ивановская улица,tertiary,23165152
Ивановская улица,tertiary,23165175
Бобруйская улица,residential,23176138
Флагманская улица,tertiary,23180748
Краснопутиловская улица,secondary,23204319
Благодатная улица,secondary,23206406
улица Победы,residential,23207344
Алмазный мост,secondary,23213270
Алмазный мост,secondary,23213273
Муринская дорога,tertiary,23223786
Муринская дорога,tertiary,23223787
площадь Египетские Ворота,secondary,23232478
Петербургское шоссе,secondary,23232484
бульвар Алексея Толстого,residential,23233378
улица Вячеслава Шишкова,residential,23233381
Октябрьская набережная,primary,23236533
Ивановская улица,primary,23240552
Невский путепровод,primary,23240553
Складская улица,unclassified,23243597
Урюпин переулок,residential,23257488
Старо-Петергофский проспект,primary,23260974
улица Победы,residential,23261477
Северный проспект,secondary,23269088
Восточный переулок,residential,23273503
1-й Купальный переулок,residential,23273504
2-й Купальный переулок,residential,23273506
Пустой переулок,residential,23273507
Республиканская улица,residential,23273508
Красносельская улица,residential,23273511
Полевая улица,residential,23273617
Газовый переулок,residential,23273732
улица Дружбы,residential,23273735
Радиальная улица,residential,23273739
Промышленный переулок,residential,23273740
Московская улица,residential,23273743
Прудовая улица,residential,23273817
Моховая улица,residential,23273818
Севастопольский переулок,residential,23273824
Красногвардейская улица,residential,23273993
Тихая улица,residential,23274000
Стахановская улица,residential,23274002
Гореловская улица,residential,23274036
Мурманское шоссе,primary,23286382
путепровод Нева,primary,23286384
Сибирская улица,residential,23308321
Парковая улица,secondary,23327056
Белозёрская площадь,secondary,23327057
Белозёрская площадь,secondary,23327058
Советский переулок,residential,23327060
Советский переулок,residential,23327064
Пашков мост-плотина,residential,23327065
Павловский мост,secondary,23327066
Союзная улица,residential,23327068
Общественная улица,residential,23327071
Софийская площадь,unclassified,23327078
Ленинградское шоссе,unclassified,23327416
Волхонское шоссе,residential,23327417
Красносельское шоссе,secondary,23336308
набережная Бумажного канала,residential,23346134
Гореловский путепровод,trunk,23351329
Привокзальная площадь,secondary,23357172
Берёзовая улица,residential,23357174
проспект Энергетиков,primary,23377510
шоссе Революции,secondary,23377550
улица Коллонтай,secondary,23417747
Дунайский путепровод,primary,23483852
Шафировский проспект,primary,23514587
Университетская набережная,primary,23546975
Кадетская линия В.О.,primary,23546981
площадь Академика Лихачёва,primary,23546991
набережная Лейтенанта Шмидта,secondary,23548388
набережная Лейтенанта Шмидта,secondary,23548389
площадь Трезини,secondary,23548394
площадь Трезини,secondary,23548395
Нефтяная дорога,secondary,23559065
Нефтяная дорога,secondary,23559066
улица Салова,secondary,23566432
улица Салова,secondary,23566433
Измайловский проспект,secondary,23591673
Краснооктябрьский мост,secondary,23591676
улица Степана Разина,tertiary,23591680
Приморское шоссе,trunk,23600405
Ново-Кирпичный мост,secondary,23653072
улица Осипенко,residential,23794076
путепровод Автово,secondary,23866420
Кронштадтская улица,unclassified,23873900
1-я Луговая улица,residential,23919656
Аннинское шоссе,secondary,23925733
Манежный переулок,residential,23961156
Дунайский путепровод,primary,23972805
Витебский путепровод,trunk,23972816
Пушкинская улица,tertiary,23975373
Дунайский проспект,primary_link,23975702
Дунайский проспект,primary_link,23975703
Львовская улица,residential,23976957
улица Гоголя,living_street,23976958
улица Добролюбова,living_street,23976959
Тракторный переулок,residential,23976969
улица Труда,residential,23976978
Целинная улица,residential,23976983
Морской проспект,tertiary,24004118
Малоохтинская набережная,primary,24300178
Малоохтинский мост,primary,24300179
Российский путепровод,primary,24421630
Караваевский переулок,residential,24620833
1-я Новая улица,residential,24761802
Песочная улица,residential,24775998
Аэродромная улица,residential,24782261
Межевая улица,residential,24782328
Кирочная улица,secondary,24782405
набережная реки Карповки,tertiary,24905444
набережная реки Карповки,tertiary,24905449
проспект Карла Маркса,residential,24905769
улица Костылёва,residential,24981351
10-я дорога,residential,24982373
Загородная улица,secondary,25017128
улица Репина,residential,25091782
Паткановская улица,residential,25227014
Русановская улица,primary_link,25227083
Социалистическая улица,residential,25227251
Механическая улица,unclassified,25227453
Камышинская улица,residential,25423891
Кушелевский путепровод,primary,25453161
Кушелевский путепровод,primary,25453163
Безымянный переулок,residential,25573894
Михайловская улица,residential,25573915
1-я Берёзовая аллея,residential,25573980
Песочная улица,residential,25612563
8-я линия,residential,25655118
Гагаринская улица,residential,25655143
Петровская набережная,residential,25655150
Заневский проспект,primary_link,25747697
Синопская набережная,secondary,25747701
проспект Обуховской Обороны,secondary,25747705
проспект Обуховской Обороны,secondary,25747706
