name,highway,id
улица Чапаева,tertiary,292770655
Транспортная улица,tertiary,292952734
Транспортная улица,tertiary,292952736
проспект Героев,secondary,292952737
улица Ленина,secondary,293024789
улица Титова,secondary,293024790
Минская улица,primary,293095811
Саратовское шоссе,primary,293095812
Коммунистическая улица,secondary,293167394
Коммунистическая улица,tertiary,293167397
Судостроительная улица,tertiary,293167399
улица Титова,secondary,293475316
улица Братьев Захаровых,secondary,294837490
Харьковская улица,residential,295786877
Садовая улица,residential,297838004
Пролетарская улица,residential,312971737
Садовая улица,residential,385377747
улица Садовые Выселки,residential,385377757
улица Фадеева,residential,385377758
Садовая улица,residential,385481536
улица Садовые Выселки,residential,385481565
набережная Леонова,secondary,385488261
проспект Героев,tertiary,385488262
улица 30 лет Победы,secondary,385488264
набережная Леонова,secondary,385488984
улица 30 лет Победы,secondary,398455284
улица Гагарина,secondary,398457104
улица Гагарина,secondary,398457105
Минская улица,secondary,398457320
Минская улица,secondary,398457321
Минская улица,secondary,398457322
Минская улица,secondary,398457323
Минская улица,secondary,398457324
Минская улица,secondary,398457325
Минская улица,secondary,398457326
Минская улица,secondary,398457327
Минская улица,secondary,398457328
Минская улица,secondary,398457329
Минская улица,secondary,398457330
Минская улица,secondary,398457331
Минская улица,secondary,398457332
Минская улица,secondary,398457333
Минская улица,secondary,398457334
Малая Вокзальная улица,secondary,425318961
Вокзальная улица,trunk,428024987
Саратовское шоссе,trunk,428024990
Саратовское шоссе,primary,428024991
Саратовское шоссе,primary,428024993
Саратовское шоссе,trunk,428024994
Саратовское шоссе,primary,428024995
набережная Леонова,secondary,439916816
Лазурная улица,tertiary,488483472
Лесной проезд,residential,488483475
Лазурная улица,tertiary,488483476
Топоринская улица,residential,492530885
улица Чернышевского,residential,504234146
улица Комарова,secondary,543487960
Вокзальная улица,trunk,546271627
улица Гагарина,secondary,546273103
Вокзальная улица,trunk,569970929
Вокзальная улица,trunk,569971025
Вокзальная улица,trunk,569971081
Малая Вокзальная улица,tertiary,571229060
Трнавская улица,secondary,572077019
шоссе Академика Королёва,trunk,584936842
шоссе Академика Королёва,trunk,584936843
улица Ленина,secondary,585666110
набережная Леонова,secondary,617576889
набережная Леонова,secondary,617576890
Саратовский тракт,trunk,626576416
Саратовское шоссе,primary,680278064
Подсосенское шоссе,residential,682671361
Пионерская улица,residential,687280676
Пионерская улица,residential,687280677
улица Гагарина,secondary,687553791
Светлая,living_street,699427810
Новая,living_street,699427811
улица Гагарина,secondary,704906866
Саратовское шоссе,trunk,898401598
улица Факел Социализма,secondary,918097081
улица Факел Социализма,secondary,918097082
улица Братьев Захаровых,secondary,1008628056
улица Братьев Захаровых,secondary,1008628057
улица Братьев Захаровых,secondary,1008628058
улица Ленина,secondary,1008628059
улица Ленина,secondary,1008628060
шоссе Академика Королёва,trunk,1016793118
Саратовское шоссе,primary,1232881370
Саратовское шоссе,primary,1232881371
набережная 50 лет ВЛКСМ,tertiary,1264851544
Телевизионная улица,primary,1265196879
улица Лобачевского,residential,1265422932
улица Титова,secondary,1265448873
Малая Вокзальная улица,secondary,1265550809
Колхозная улица,residential,1265554270
Пионерская улица,secondary,1265557465
Комсомольская улица,secondary,1265557466
Комсомольская улица,secondary,1265557467
улица Ленина,secondary,1265557468
Комсомольская улица,secondary,1265557470
Комсомольская улица,secondary,1265557471
Трнавская улица,secondary,1265743665
Трнавская улица,secondary,1265743666
Транспортная улица,tertiary,1265743667
Транспортная улица,tertiary,1265743668
Трнавская улица,secondary,1265751537
Трнавская улица,secondary,1265751538
Степная улица,secondary,1265751542
проезд Энергетиков,secondary,1265752632
улица 30 лет Победы,secondary,1265752633
улица 20 лет ВЛКСМ,secondary,1266179338
улица 20 лет ВЛКСМ,secondary,1266179339
Малая Вокзальная улица,secondary,1266233112
улица Чапаева,residential,1266801440
Коммунистическая улица,unclassified,1266805185
улица Ленина,secondary,1266808614
Заовражная улица,secondary,1266808615
улица Ленина,secondary,1267729715
Степная улица,tertiary,1267927596
Степная улица,tertiary,1267927597
Строительная улица,tertiary,1267932718
Минская улица,secondary,1267932719
Рабочая улица,tertiary,1268691627
улица 1 Мая,residential,1268691628
Коммунистическая улица,secondary,1268691629
Вокзальная улица,trunk,1274936943
Вокзальная улица,trunk,1274936945
улица Титова,secondary,1276454881
улица Титова,secondary,1276454882
шоссе Академика Королёва,trunk,1279377293
шоссе Академика Королёва,trunk,1279377294
улица Братьев Захаровых,secondary,1279377443
улица Братьев Захаровых,secondary,1279377444
улица 20 лет ВЛКСМ,tertiary,1279378242
улица Факел Социализма,secondary,1279379470
улица Академика Жук,tertiary,1279380432
улица Титова,secondary,1279382050
улица Титова,secondary,1279382051
Саратовское шоссе,primary,1291725809
Коммунистическая улица,tertiary,1292148636
Коммунистическая улица,tertiary,1292148637
Каховская улица,residential,1292480305
Каховская улица,residential,1292480306
Каховская улица,residential,1292480307
Набережная улица,residential,1298823938
улица 20 лет ВЛКСМ,tertiary,1300971020
